None, 23:11:00.433773600, 2022-11-27
None, 23:11:34.560354600, 2022-11-27
Square, 23:11:46.559569, 2022-11-27
Square, 23:11:58.558855300, 2022-11-27
Square, 23:12:10.562403600, 2022-11-27
Square, 23:12:22.574438700, 2022-11-27
Square, 23:12:34.572670900, 2022-11-27
None, 23:19:32.304372900, 2022-11-27
None, 23:19:44.295524600, 2022-11-27
None, 23:19:56.295856600, 2022-11-27
None, 23:20:08.296057400, 2022-11-27
None, 01:43:16.917768500, 2022-11-28
None, 01:43:16.918765700, 2022-11-28
None, 01:43:16.919763100, 2022-11-28
None, 01:43:16.920760100, 2022-11-28
None, 01:43:16.921757800, 2022-11-28
None, 01:43:16.922755500, 2022-11-28
None, 01:43:16.923752600, 2022-11-28
None, 01:43:16.924749900, 2022-11-28
None, 01:43:16.925747500, 2022-11-28
None, 01:43:16.926744200, 2022-11-28
None, 01:43:16.927743400, 2022-11-28
None, 01:43:16.928739400, 2022-11-28
None, 01:43:16.929736400, 2022-11-28
None, 01:43:16.930736100, 2022-11-28
None, 01:43:16.931736200, 2022-11-28
None, 01:43:16.931736200, 2022-11-28
None, 01:43:16.932728500, 2022-11-28
None, 01:43:16.933725900, 2022-11-28
None, 01:43:16.934722900, 2022-11-28
None, 01:43:16.935720500, 2022-11-28
None, 01:43:16.936717900, 2022-11-28
None, 01:43:16.937717400, 2022-11-28
None, 01:43:16.938712700, 2022-11-28
None, 01:43:16.938712700, 2022-11-28
None, 01:43:16.939709800, 2022-11-28
None, 01:43:16.940708900, 2022-11-28
None, 01:43:16.941704, 2022-11-28
None, 01:43:16.942703500, 2022-11-28
None, 01:43:16.943699600, 2022-11-28
None, 01:43:16.944696600, 2022-11-28
None, 01:43:16.945699600, 2022-11-28
None, 01:43:16.946691500, 2022-11-28
None, 01:43:16.946691500, 2022-11-28
None, 01:43:16.947688300, 2022-11-28
None, 01:43:16.948685600, 2022-11-28
None, 01:43:16.948685600, 2022-11-28
None, 01:43:16.949682800, 2022-11-28
None, 01:43:16.950680100, 2022-11-28
None, 01:43:16.950680100, 2022-11-28
None, 01:43:16.951677700, 2022-11-28
None, 01:43:16.952674800, 2022-11-28
None, 01:43:16.953672500, 2022-11-28
None, 01:43:16.953672500, 2022-11-28
None, 01:43:16.954669600, 2022-11-28
None, 01:43:16.955667200, 2022-11-28
None, 01:43:16.956664, 2022-11-28
None, 01:43:16.957661400, 2022-11-28
None, 01:43:16.957661400, 2022-11-28
None, 01:43:16.958659100, 2022-11-28
None, 01:43:16.959656200, 2022-11-28
None, 01:43:16.960654100, 2022-11-28
None, 01:43:16.961651100, 2022-11-28
None, 01:43:16.962650700, 2022-11-28
None, 01:43:16.962650700, 2022-11-28
None, 01:43:16.963647300, 2022-11-28
None, 01:43:16.964644800, 2022-11-28
None, 01:43:16.964644800, 2022-11-28
None, 01:43:16.965640800, 2022-11-28
None, 01:43:16.966639, 2022-11-28
None, 01:43:16.966639, 2022-11-28
None, 01:43:16.967635800, 2022-11-28
None, 01:43:16.968632500, 2022-11-28
None, 01:43:16.968632500, 2022-11-28
None, 01:43:16.969629500, 2022-11-28
None, 01:43:16.970626900, 2022-11-28
None, 01:43:16.970626900, 2022-11-28
None, 01:43:16.971624200, 2022-11-28
None, 01:43:16.972623700, 2022-11-28
None, 01:43:16.973620700, 2022-11-28
None, 01:43:16.974617400, 2022-11-28
None, 01:43:16.974617400, 2022-11-28
None, 01:43:16.975615200, 2022-11-28
None, 01:43:16.976611700, 2022-11-28
None, 01:43:16.976611700, 2022-11-28
None, 01:43:16.977612800, 2022-11-28
None, 01:43:16.978606200, 2022-11-28
None, 01:43:16.979603100, 2022-11-28
None, 01:43:16.980600500, 2022-11-28
None, 01:43:16.981600, 2022-11-28
None, 01:43:16.982595300, 2022-11-28
None, 01:43:16.983592100, 2022-11-28
None, 01:43:16.983592100, 2022-11-28
None, 01:43:16.984589800, 2022-11-28
None, 01:43:16.985587, 2022-11-28
None, 01:43:16.986584300, 2022-11-28
None, 01:43:16.987582, 2022-11-28
None, 01:43:16.988580200, 2022-11-28
None, 01:43:16.989576200, 2022-11-28
None, 01:43:16.989576200, 2022-11-28
None, 01:43:16.991571100, 2022-11-28
None, 01:43:16.991571100, 2022-11-28
None, 01:43:16.992568800, 2022-11-28
None, 01:43:16.993565700, 2022-11-28
None, 01:43:16.994563700, 2022-11-28
None, 01:43:16.995560800, 2022-11-28
None, 01:43:16.995560800, 2022-11-28
None, 01:43:16.996558300, 2022-11-28
None, 01:43:16.997555200, 2022-11-28
None, 01:43:16.998552700, 2022-11-28
None, 01:43:16.999549900, 2022-11-28
None, 01:43:17.000547, 2022-11-28
None, 01:43:17.001544100, 2022-11-28
None, 01:43:17.001544100, 2022-11-28
None, 01:43:17.002543, 2022-11-28
None, 01:43:17.003538900, 2022-11-28
None, 01:43:17.004536100, 2022-11-28
None, 01:43:17.005533400, 2022-11-28
None, 01:43:17.006531900, 2022-11-28
None, 01:43:17.007528900, 2022-11-28
None, 01:43:17.008525900, 2022-11-28
None, 01:43:17.009522700, 2022-11-28
None, 01:43:17.009522700, 2022-11-28
None, 01:43:17.010520200, 2022-11-28
None, 01:43:17.011518, 2022-11-28
None, 01:43:17.011518, 2022-11-28
None, 01:43:17.012514400, 2022-11-28
None, 01:43:17.013512300, 2022-11-28
None, 01:43:17.014509300, 2022-11-28
None, 01:43:17.015506600, 2022-11-28
None, 01:43:17.015506600, 2022-11-28
None, 01:43:17.016504800, 2022-11-28
None, 01:43:17.017501800, 2022-11-28
None, 01:43:17.018499700, 2022-11-28
None, 01:43:17.019496100, 2022-11-28
None, 01:43:17.020493900, 2022-11-28
None, 01:43:17.020493900, 2022-11-28
None, 01:43:17.021491900, 2022-11-28
None, 01:43:17.022490300, 2022-11-28
None, 01:43:17.022490300, 2022-11-28
None, 01:43:17.023485800, 2022-11-28
None, 01:43:17.024482700, 2022-11-28
None, 01:43:17.024482700, 2022-11-28
None, 01:43:17.025480600, 2022-11-28
None, 01:43:17.026478100, 2022-11-28
